104425;Edgecombe Road;Oxford City Centre
104426;Wick Close;Oxford City Centre
104427;Barton Village Road;Oxford City Centre
104428;Atkinson Close;Oxford City Centre
104429;Poundfield Close;Oxford City Centre
104430;Underhill Circus;Oxford City Centre
104431;Stowford Road;Oxford City Centre
104432;Routh Road;Oxford City Centre
104433;Humfrey Road;Oxford City Centre
104434;Claymond Road;Oxford City Centre
104435;Malford Road;Oxford City Centre
104436;Bayswater Road Church;Oxford City Centre
104449;Kiln Lane;Oxford City Centre
104450;Lewis Close;Oxford City Centre
104451;Downside Road PO;Oxford City Centre
104452;Stanway Road;Oxford City Centre
104453;Collinwood Road;Oxford City Centre
104454;A40 Risinghurst Turn;Oxford City Centre
104437;Green Road Roundabout;Oxford City Centre
104438;Gladstone Road;Oxford City Centre
104439;Wharton Road;Oxford City Centre
104440;Headington Shops;Oxford City Centre
104441;Sandfield Road;Oxford City Centre
104442;Headington School;Oxford City Centre
104443;Brookes University;Oxford City Centre
104444;Glebe Street;Oxford City Centre
104445;St Clements Street;Oxford City Centre
104446;Queens Lane;Oxford City Centre
104447;Carfax;Oxford City Centre
104448;Speedwell Street;Oxford City Centre
146583;St Aldates;Oxford City Centre
102868;Queens Lane;Oxford City Centre
102869;St Clements Street;Oxford City Centre
100299;South Park;Oxford City Centre
100300;Brookes University;Oxford City Centre
100301;Headington School;Oxford City Centre
102873;Sandfield Road;Oxford City Centre
102874;Headington Shops;Oxford City Centre
102875;Wharton Road;Oxford City Centre
102876;Gladstone Road;Oxford City Centre
100306;Green Road Roundabout;Oxford City Centre
103085;Harcourt Hill Campus;Wheatley
103086;Raleigh Park Road;Wheatley
103087;Yarnells Hill;Wheatley
103088;Westminster Way;Wheatley
103089;Minns Industrial Estate;Wheatley
103090;Seacourt Park and Ride;Wheatley
103091;Lamarsh Road;Wheatley
103092;Binsey Lane;Wheatley
103093;Osney Island;Wheatley
103094;Frideswide Square;Wheatley
103095;New Road;Wheatley
103096;Turl Street;Wheatley
103097;Queens Lane;Wheatley
103098;St Clements Street;Wheatley
103099;South Park;Wheatley
103100;Brookes University;Wheatley
103101;Headington School;Wheatley
103102;Sandfield Road;Wheatley
103103;Headington Shops;Wheatley
103104;Wharton Road;Wheatley
103105;Gladstone Road;Wheatley
103106;Green Road Roundabout;Wheatley
103107;A40 Risinghurst Turn;Wheatley
103108;Thornhill Park and Ride;Wheatley
103109;Forest Hill Turn;Wheatley
103110;Holton Turn;Wheatley
103111;The Glebe;Wheatley
103112;Tyndale;Wheatley
103113;Park Hill Roundabout;Wheatley
103114;St Marys Church;Wheatley
103115;Friday Lane;Wheatley
103116;Kings Arms PH;Wheatley
103118;Jack Straws Lane;Wheatley
103119;Edgeway Road;Wheatley
103120;Clive Booth Hall;Wheatley
103121;Kings Mill Lane;Wheatley
129676;Turl Street;Wheatley
129678;St Clements Street;Wheatley
129679;South Park;Wheatley
129680;Brookes University;Wheatley
129681;Headington School;Wheatley
129682;Sandfield Road;Wheatley
129683;Headington Shops;Wheatley
129684;Wharton Road;Wheatley
129685;Gladstone Road;Wheatley
129686;Green Road Roundabout;Wheatley
129687;A40 Risinghurst Turn;Wheatley
129688;Thornhill Park and Ride;Wheatley
129689;Forest Hill Turn;Wheatley
129690;Holton Turn;Wheatley
129691;The Glebe;Wheatley
129692;Tyndale;Wheatley
129693;Harcourt Hill Campus;Wheatley
129694;Raleigh Park Road;Wheatley
129695;Yarnells Hill;Wheatley
129696;Westminster Way;Wheatley
129697;Minns Industrial Estate;Wheatley
129698;Seacourt Park and Ride;Wheatley
129699;Lamarsh Road;Wheatley
129700;Binsey Lane;Wheatley
129701;Osney Island;Wheatley
129702;Frideswide Square;Wheatley
129703;New Road;Wheatley
129704;Jack Straws Lane;Wheatley
129705;Edgeway Road;Wheatley
129706;Clive Booth Hall;Wheatley
129707;Kings Mill Lane;Wheatley
129708;Park Hill Roundabout;Wheatley
129709;St Marys Church;Wheatley
129710;Friday Lane;Wheatley
129711;Kings Arms PH;Wheatley
129677;Queens Lane;Wheatley
103055;Wheatley Campus;Harcourt Hill
103056;Tyndale;Harcourt Hill
103057;Kings Arms PH;Harcourt Hill
103058;Friday Lane;Harcourt Hill
103059;St Marys Church;Harcourt Hill
103060;Park Hill Roundabout;Harcourt Hill
103061;Forest Hill Turn;Harcourt Hill
103062;Thornhill Park and Ride;Harcourt Hill
103063;A40 Risinghurst Turn;Harcourt Hill
103064;Green Road Roundabout;Harcourt Hill
103065;Gladstone Road;Harcourt Hill
103066;Wharton Road;Harcourt Hill
103067;Headington Shops;Harcourt Hill
103068;Sandfield Road;Harcourt Hill
103069;Headington School;Harcourt Hill
103070;Brookes University;Harcourt Hill
103071;Glebe Street;Harcourt Hill
103072;St Clements Street;Harcourt Hill
103073;Queens Lane;Harcourt Hill
103074;Carfax;Harcourt Hill
103075;Speedwell Street;Harcourt Hill
103076;Castle Street;Harcourt Hill
103077;Frideswide Square;Harcourt Hill
103078;Osney Island;Harcourt Hill
103079;Binsey Lane;Harcourt Hill
103080;Lamarsh Road;Harcourt Hill
103081;Seacourt Park and Ride;Harcourt Hill
103082;Minns Industrial Estate;Harcourt Hill
103083;Westminster Way;Harcourt Hill
103084;Raleigh Park Road;Harcourt Hill
103117;The Glebe;Harcourt Hill
129645;Headington Shops;Harcourt Hill
129646;Sandfield Road;Harcourt Hill
129649;Glebe Street;Harcourt Hill
129650;St Clements Street;Harcourt Hill
129653;Speedwell Street;Harcourt Hill
129654;Castle Street;Harcourt Hill
129655;Frideswide Square;Harcourt Hill
129656;Osney Island;Harcourt Hill
129657;Binsey Lane;Harcourt Hill
129658;Lamarsh Road;Harcourt Hill
129659;Seacourt Park and Ride;Harcourt Hill
129660;Minns Industrial Estate;Harcourt Hill
129661;Westminster Way;Harcourt Hill
129662;Raleigh Park Road;Harcourt Hill
129663;Wheatley Campus;Harcourt Hill
129664;Tyndale;Harcourt Hill
129665;Kings Arms PH;Harcourt Hill
129666;Friday Lane;Harcourt Hill
129667;St Marys Church;Harcourt Hill
129668;Park Hill Roundabout;Harcourt Hill
129669;Forest Hill Turn;Harcourt Hill
129670;Thornhill Park and Ride;Harcourt Hill
129671;A40 Risinghurst Turn;Harcourt Hill
129672;Green Road Roundabout;Harcourt Hill
129673;Gladstone Road;Harcourt Hill
129674;Wharton Road;Harcourt Hill
129675;The Glebe;Harcourt Hill
129647;Headington School;Harcourt Hill
129648;Brookes University;Harcourt Hill
129651;Queens Lane;Harcourt Hill
129652;Carfax;Harcourt Hill
103126;Harcourt Hill Campus;Wheatley
103127;Frideswide Square;Wheatley
103128;Turl Street;Wheatley
103129;Brookes University;Wheatley
103130;Headington Shops;Wheatley
103122;Headington Shops;Wheatley
103123;Brookes University;Wheatley
103124;Carfax;Wheatley
103125;Frideswide Square;Wheatley
103131;Wheatley Campus;Wheatley
129712;Speedwell Street;Marston
129713;St Aldates;Marston
129786;The Plain;Marston
129787;James Street east;Marston
129788;Manzil Way;Marston
129789;Magdalen Road east;Marston
129790;Howard Street east;Marston
129791;Shelley Road;Marston
129792;Marsh Road;Marston
129793;Clive Road;Marston
129755;The Original Swan PH;Marston
129756;Fern Hill Road;Marston
129757;Crescent Hall;Marston
129758;Barracks Lane;Marston
129759;Paul Kent Hall;Marston
129760;Corner House;Marston
129761;Cinnaminta Road;Marston
129762;Peat Moors;Marston
129763;Warren Crescent;Marston
129764;Goslyn Close;Marston
129765;Girdlestone Close;Marston
129766;Lime Walk;Marston
129767;Valentia Road;Marston
129768;Gipsy Lane Campus;Marston
129795;Cherwell Street;Marston
129796;Clive Booth Hall;Marston
129797;The Somerset PH;Marston
129798;Edgeway Road;Marston
100812;Speedwell Street S2;Marston
129781;Jack Straws Lane;Marston
129782;Crotch Crescent;Marston
129783;Copse Lane;Marston
129784;Bowness Avenue;Marston
129785;Snowdon Mede;City
129716;Fortnam Close;City
129717;Headington School;City
129718;Gipsy Lane Campus;City
129719;Valentia Road;City
129720;Lime Walk;City
129721;Girdlestone Close;City
129722;Goslyn Close;City
129723;Warren Crescent;City
129724;Peat Moors;City
129725;Cinnaminta Road;City
129726;Corner House;City
129727;Paul Kent Hall;City
129728;Barracks Lane;City
129729;Crescent Hall;City
129730;Fern Hill Road;City
129731;The Original Swan PH;City
129772;Clive Road;City
129773;Marsh Road;City
129774;Shelley Road;City
129775;Howard Street east;City
129776;Magdalen Road east;City
129777;Manzil Way;City
129778;James Street east;City
129779;Stockmore Street;City
129780;The Plain;City
129799;The Original Swan PH;City
